"ano";"mes";"total_acidentes";"total_mortos";"acidentes_fatais";"perc_fatais"
"2025";"1";"5528";"418";"359";"6.49"
"2025";"2";"5287";"412";"362";"6.85"
"2025";"3";"5960";"462";"402";"6.74"
"2025";"4";"5786";"495";"414";"7.16"
"2025";"5";"6096";"574";"504";"8.27"
"2025";"6";"6122";"528";"457";"7.46"
"2025";"7";"6238";"536";"456";"7.31"
"2025";"8";"6246";"554";"472";"7.56"
"2025";"9";"6017";"500";"438";"7.28"
"2025";"10";"6252";"494";"422";"6.75"
"2025";"11";"6209";"498";"444";"7.15"
"2025";"12";"6788";"572";"480";"7.07"
